model_id,itemName,collection,subCategory,db_itemId,images,status,candidate_confidence,likely_source_folders,flags,primary_risk_reason,recommended_review_action
ryderwear_female_ultra_tank_top_scoop,Ultra Scoop Tank,Ultra,Tank_Top,120,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_ultra_t_shirt_scoop,Ultra Scoop T-Shirt,Ultra,T_Shirt,119,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_replay_sports_bra_cut-out,Replay Cut-Out Sports Bra,Replay,Sports_Bra,103,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-replay-sports-bra-cut-out/,already_image_ready,,,,,
ryderwear_female_replay_leggings_high-waisted,Replay High-Waisted Leggings,Replay,Leggings,104,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-replay-leggings-high-waisted/,already_image_ready,,,,,
ryderwear_female_momentum_sports_bra_twist,Momentum Twist Sports Bra,Momentum,Sports_Bra,81,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-momentum-sports-bra-twist/,already_image_ready,,,,,
ryderwear_female_persist_shorts_training,Persist Training Shorts,Persist,Shorts,102,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-persist-shorts-training/,already_image_ready,,,,,
ryderwear_female_logo lux_sports_bra_seamless,Logo Lux Seamless Sports Bra,Logo Lux,Sports_Bra,80,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-logo-lux-sports-bra-seamless/,already_image_ready,,,,,
ryderwear_female_staples_shorts_seamless,Staples Seamless Shorts,Staples,Shorts,113,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-staples-shorts-seamless/,already_image_ready,,,,,
ryderwear_female_activate_sports_bra_twist,Activate Sports Bra,Activate,Sports_Bra,63,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-momentum-sports-bra-twist/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_terry towelling_sports_bra_cropped,Terry Towelling Cropped Sports Bra,Terry Towelling,Sports_Bra,117,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/,already_image_ready,,,,,
ryderwear_female_slouchy_off_shoulder_top,Slouchy Off Shoulder Top,NULL,Slouchy_Off_Shoulder_Top,112,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_unisex_gym_bag_accessories,Gym Bag,NULL,Gym_Bag,68,images/brands/ryderwear/women/accessories/pilates-gym-bag/vanilla/ryderwear-unisex-gym-bag-accessories/,already_image_ready,,,,,
